PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
202718,00,0,440,369,13247.0,2129,4611,0.461721,687,1844,0.372559,626,878,0.712984,356,1616,1972,1201,412,152,657,865,5571
1629672,00,0,100,28,2349.0,466,938,0.496801,55,183,0.300546,231,306,0.754901,110,293,403,178,44,20,137,193,1218
1628394,00,0,28,0,443.0,61,117,0.521367,0,4,0.0,34,58,0.586206,43,65,108,19,9,12,29,77,156
202335,00,0,719,104,14921.0,1871,4185,0.447072,630,1709,0.368636,410,543,0.755064,822,1977,2799,736,368,296,450,1116,4782
1628383,00,0,22,6,295.0,36,89,0.404494,10,40,0.25,4,6,0.666666,17,43,60,19,15,14,6,44,86
101108,00,0,1090,1090,37757.0,7035,14898,0.472211,1481,3988,0.371364,4427,5073,0.872659,692,4231,4923,10275,2332,152,2621,2666,19978
203901,00,0,450,394,12834.0,2019,4491,0.449565,186,644,0.288819,662,1050,0.630476,502,1417,1919,2768,563,145,1037,962,4886
1627780,00,0,71,23,808.0,101,233,0.433476,23,86,0.267441,13,26,0.5,42,107,149,87,52,16,39,103,238
203658,00,0,37,0,315.0,33,63,0.523809,0,1,0.0,11,20,0.55,26,65,91,10,4,40,21,69,77
1629033,00,0,68,0,611.0,71,237,0.299578,27,134,0.201492,34,38,0.894736,14,81,95,78,23,4,52,54,203
203486,00,0,588,313,12975.0,1974,3410,0.578885,2,39,0.051282,1057,1848,0.571969,1185,2628,3813,1385,442,540,886,1622,5007
1627751,00,0,348,97,6439.0,938,1485,0.631649,1,2,0.5,243,460,0.52826,771,1119,1890,412,169,406,299,747,2120
1629738,00,0,32,0,169.0,20,48,0.416666,1,3,0.333333,8,13,0.615384,19,38,57,10,2,12,12,33,49
1629044,00,0,4,0,11.0,3,5,0.6,1,2,0.5,2,2,1.0,0,1,1,2,0,1,0,2,9
1629673,00,0,108,21,2262.0,372,976,0.381147,171,541,0.316081,200,238,0.840336,24,186,210,233,61,19,125,180,1115
1629645,00,0,76,26,1997.0,342,788,0.43401,103,319,0.322884,142,195,0.728205,42,219,261,273,65,22,184,196,929
1629008,00,0,116,62,2816.0,638,1200,0.531666,232,529,0.438563,166,206,0.805825,157,547,704,116,67,79,126,226,1674
203490,00,0,441,301,11685.0,1866,3897,0.478829,590,1468,0.401907,499,629,0.793322,504,1685,2189,673,502,187,356,810,4821
1626171,00,0,381,61,7809.0,1608,3437,0.467849,344,906,0.37969,409,544,0.751838,670,1668,2338,451,210,120,397,694,3969
204001,00,0,286,285,8904.0,1929,4375,0.440914,522,1446,0.360995,961,1188,0.808922,487,1751,2238,418,197,551,475,890,5341
203939,00,0,429,107,7922.0,1182,2079,0.568542,108,372,0.290322,737,990,0.744444,625,1320,1945,427,287,203,287,917,3209
1626181,00,0,376,147,7965.0,1401,3025,0.46314,493,1307,0.377199,628,750,0.837333,140,803,943,529,299,92,429,661,3923
1627752,00,0,301,210,7761.0,1200,2920,0.410958,540,1460,0.369863,457,555,0.823423,166,1102,1268,579,266,136,526,639,3397
203944,00,0,446,366,13601.0,2876,5931,0.484909,328,959,0.342022,1664,2247,0.740542,900,3199,4099,1472,312,196,1178,1414,7744
1629729,00,0,4,0,28.0,3,9,0.333333,0,2,0.0,2,2,1.0,1,2,3,3,0,0,0,5,8
1629629,00,0,84,55,2301.0,309,817,0.378212,116,376,0.30851,168,208,0.807692,57,263,320,122,95,37,130,200,902
200755,00,0,940,488,23965.0,4009,8976,0.446635,1950,4704,0.41454,2060,2310,0.891774,172,1731,1903,1862,420,88,1040,1417,12028
1629675,00,0,100,26,1842.0,404,824,0.490291,93,271,0.343173,152,219,0.694063,116,330,446,107,53,98,91,262,1053
1629244,00,0,24,0,300.0,39,96,0.40625,24,63,0.380952,8,9,0.888888,6,30,36,15,6,2,5,28,110
1626196,00,0,373,299,11433.0,1689,3960,0.426515,592,1654,0.35792,634,762,0.83202,271,921,1192,1057,409,233,536,904,4604
203085,00,0,588,156,14360.0,1977,4730,0.41797,667,1906,0.349947,717,1110,0.645945,198,1047,1245,1348,415,102,655,1278,5338
203460,00,0,307,269,6801.0,573,1211,0.473162,112,443,0.252821,124,265,0.467924,362,868,1230,265,268,199,185,658,1382
1629130,00,0,160,141,4588.0,656,1450,0.452413,530,1254,0.422647,133,153,0.869281,19,482,501,234,83,39,155,385,1975
